市场,股票代码,股票名称,发行总数(万股),上市价格,每手股数,币种,申购起始,申购结束,上市时间
SH,605003,众望布艺,2200,25.75,100,CNY,2020-08-27,2020-08-29,-
SH,688356,键凯科技,1500,20.92~21.33,100,CNY,2020-08-13,2020-08-15,-
SH,605255,天普股份,3352,12.66,100,CNY,2020-08-13,2020-08-15,-
SH,605123,派克新材,2700,30.33,100,CNY,2020-08-13,2020-08-15,-
SZ,300877,金春股份,3000,14.01,100,CNY,2020-08-13,2020-08-15,-
SZ,300878,维康药业,2011,26.85,100,CNY,2020-08-13,2020-08-15,-
SH,605008,长鸿高科,4600,10.54,100,CNY,2020-08-12,2020-08-14,-
SZ,300873,海晨股份,3333.33,20.14~21.01,100,CNY,2020-08-12,2020-08-14,-
SZ,300872,天阳科技,5620,9.68~11.04,100,CNY,2020-08-12,2020-08-14,-
SZ,300876,蒙泰高新,2400,15.15~17.66,100,CNY,2020-08-12,2020-08-14,-
SZ,300864,南大环境,1200,46.58~47.91,100,CNY,2020-08-11,2020-08-13,-
SZ,300870,欧陆通,2530,23.54,100,CNY,2020-08-11,2020-08-13,-
SZ,300871,回盛生物,2770,13.02~21.29,100,CNY,2020-08-11,2020-08-13,-
SH,688596,正帆科技,6423.54,6.80~6.88,100,CNY,2020-08-10,2020-08-12,-
SH,688393,安必平,2334,16.01,100,CNY,2020-08-10,2020-08-12,-
SZ,300867,圣元环保,6800,18.25~26.02,100,CNY,2020-08-10,2020-08-12,-
SZ,300868,杰美特,3200,13.92,100,CNY,2020-08-10,2020-08-12,-
SZ,300869,康泰医学,4100,3.91~8.26,100,CNY,2020-08-10,2020-08-12,-
SH,688521,芯原股份,4831.93,38.53,100,CNY,2020-08-07,2020-08-09,-
SH,688379,华光新材,2200,16.78,100,CNY,2020-08-07,2020-08-09,-
SH,603931,格林达,2545.39,21.38,100,CNY,2020-08-07,2020-08-09,-
SZ,300863,卡倍亿,1381,18.79,100,CNY,2020-08-07,2020-08-09,-
SZ,300866,安克创新,4100,66.32,100,CNY,2020-08-07,2020-08-09,-
SZ,300865,大宏立,2392,20.20,100,CNY,2020-08-07,2020-08-09,-
SH,605333,沪光股份,4010,5.30,100,CNY,2020-08-06,2020-08-08,-
SH,688519,南亚新材,5860,32.60,100,CNY,2020-08-06,2020-08-08,-
SH,688055,龙腾光电,33333.3,1.22,100,CNY,2020-08-06,2020-08-08,-
SH,605388,均瑶健康,7000,13.43,100,CNY,2020-08-06,2020-08-08,-
SZ,300875,捷强装备,1919.9,53.10,100,CNY,2020-08-06,2020-08-08,-
SH,605088,冠盛股份,4000,15.57,100,CNY,2020-08-05,2020-08-07,-
SH,688335,复洁环保,1820,46.22,100,CNY,2020-08-05,2020-08-07,-
SH,688229,博睿数据,1110,65.82,100,CNY,2020-08-05,2020-08-07,-
SZ,300862,蓝盾光电,3297,33.95,100,CNY,2020-08-05,2020-08-07,-
SZ,300860,锋尚文化,1802,138.02,100,CNY,2020-08-04,2020-08-06,-
SZ,300861,美畅股份,4001,43.76,100,CNY,2020-08-04,2020-08-06,-
SZ,002993,奥海科技,4520,26.88,100,CNY,2020-08-03,2020-08-05,-
SH,688065,凯赛生物,4166.82,133.45,100,CNY,2020-08-03,2020-08-05,-
SH,688313,仕佳光子,4600,10.82,100,CNY,2020-07-31,2020-08-02,-
SH,688185,康希诺,2480,209.71,100,CNY,2020-07-31,2020-08-02,-
SH,605366,宏柏新材,8300,9.98,100,CNY,2020-07-31,2020-08-02,-
SH,688155,先惠技术,1891,38.77,100,CNY,2020-07-30,2020-08-01,-
SH,605100,华丰股份,2170,39.43,100,CNY,2020-07-29,2020-07-31,-
SH,688286,敏芯股份,1330,62.67,100,CNY,2020-07-29,2020-07-31,-
SH,688339,亿华通,1763.05,76.65,100,CNY,2020-07-29,2020-07-31,-
SH,605066,天正电气,7100,10.02,100,CNY,2020-07-29,2020-07-31,2020-08-07
SH,688556,高测股份,4046.29,14.41,100,CNY,2020-07-27,2020-07-29,2020-08-07
SH,605158,华达新材,9840,8.55,100,CNY,2020-07-27,2020-07-29,2020-08-05
SZ,300859,西域旅游,3875,7.19,100,CNY,2020-07-27,2020-07-29,2020-08-06
SZ,002992,宝明科技,3450,22.35,100,CNY,2020-07-23,2020-07-25,2020-08-03
SH,688338,赛科希德,2041.2,50.35,100,CNY,2020-07-23,2020-07-25,2020-08-06
SH,605399,晨光新材,4600,13.16,100,CNY,2020-07-23,2020-07-25,2020-08-04
SZ,002991,甘源食品,2330.4,38.76,100,CNY,2020-07-22,2020-07-24,2020-07-31
SH,688311,盟升电子,2867,41.58,100,CNY,2020-07-22,2020-07-24,2020-07-31
SH,688586,江航装备,10093.6,10.27,100,CNY,2020-07-22,2020-07-24,2020-07-31
SZ,002995,天地在线,1617,33.84,100,CNY,2020-07-22,2020-07-24,2020-08-05
SH,605318,法狮龙,3229.28,13.09,100,CNY,2020-07-21,2020-07-23,2020-08-03
SH,605222,起帆电缆,5000,18.43,100,CNY,2020-07-21,2020-07-23,2020-07-31
SH,601456,国联证券,47571.9,4.25,100,CNY,2020-07-21,2020-07-23,2020-07-31
SH,605118,力鼎光电,4100,9.28,100,CNY,2020-07-20,2020-07-22,2020-07-30
SH,603408,建霖家居,4500,15.53,100,CNY,2020-07-20,2020-07-22,2020-07-30
SH,688050,爱博医疗,2629,33.55,100,CNY,2020-07-20,2020-07-22,2020-07-29
SH,605188,国光连锁,4958,4.65,100,CNY,2020-07-16,2020-07-18,2020-07-28
SZ,300858,科拓生物,2063,23.70,100,CNY,2020-07-15,2020-07-17,2020-07-27
SZ,300855,图南股份,5000,10.51,100,CNY,2020-07-14,2020-07-16,2020-07-23
SZ,300857,协创数据,5163.94,9.30,100,CNY,2020-07-14,2020-07-16,2020-07-27
SH,688561,奇安信,10194.2,56.10,100,CNY,2020-07-14,2020-07-16,2020-07-22
SH,688418,震有科技,4841,16.25,100,CNY,2020-07-13,2020-07-15,2020-07-22
SZ,300856,科思股份,2822,30.56,100,CNY,2020-07-13,2020-07-15,2020-07-22
SH,688589,力合微,2700,17.91,100,CNY,2020-07-13,2020-07-15,2020-07-22
SH,688336,三生国健,6162.11,28.18,100,CNY,2020-07-13,2020-07-15,2020-07-22
SH,688508,芯朋微,2820,28.30,100,CNY,2020-07-13,2020-07-15,2020-07-22
SH,688077,大地熊,2000,28.07,100,CNY,2020-07-13,2020-07-15,2020-07-22
SZ,300853,申昊科技,2040.7,30.41,100,CNY,2020-07-13,2020-07-15,2020-07-24
SH,688069,德林海,1487,67.20,100,CNY,2020-07-13,2020-07-15,2020-07-22
SZ,300848,美瑞新材,1667,28.18,100,CNY,2020-07-08,2020-07-10,2020-07-20
SH,688580,伟思医疗,1708.67,67.58,100,CNY,2020-07-08,2020-07-10,2020-07-21
SH,688256,寒武纪,4010,64.39,100,CNY,2020-07-08,2020-07-10,2020-07-20
SH,688488,艾迪药业,6000,13.99,100,CNY,2020-07-07,2020-07-09,2020-07-20
SH,688500,慧辰资讯,1856.86,34.21,100,CNY,2020-07-07,2020-07-09,2020-07-16
SH,688981,中芯国际,193846,27.46,100,CNY,2020-07-07,2020-07-09,2020-07-16
SZ,300851,交大思诺,2173.34,28.69,100,CNY,2020-07-06,2020-07-08,2020-07-17
SH,688579,山大地纬,4001,8.12,100,CNY,2020-07-06,2020-07-08,2020-07-17
SH,688567,孚能科技,21413.4,15.90,100,CNY,2020-07-06,2020-07-08,2020-07-17
SH,605108,同庆楼,5000,16.70,100,CNY,2020-07-06,2020-07-08,2020-07-16
SH,688165,埃夫特,13044.7,6.35,100,CNY,2020-07-03,2020-07-05,2020-07-15
SH,688309,恒誉环保,2000.27,24.79,100,CNY,2020-07-03,2020-07-05,2020-07-14
SH,688180,君实生物,8713,55.50,100,CNY,2020-07-02,2020-07-04,2020-07-15
SZ,300850,新强联,2650,19.66,100,CNY,2020-07-02,2020-07-04,2020-07-13
SH,688060,云涌科技,1500,44.47,100,CNY,2020-07-01,2020-07-03,2020-07-10
SZ,300849,锦盛新材,2500,13.99,100,CNY,2020-06-29,2020-07-01,2020-07-10
SH,605199,葫芦娃,4010,5.19,100,CNY,2020-06-29,2020-07-01,2020-07-10
SZ,300852,四会富仕,1416,33.06,100,CNY,2020-06-29,2020-07-01,2020-07-13
SZ,300840,酷特智能,6000,5.94,100,CNY,2020-06-24,2020-06-26,2020-07-08
SH,688027,国盾量子,2000,36.18,100,CNY,2020-06-24,2020-06-26,2020-07-09
SH,688568,中科星图,5500,16.21,100,CNY,2020-06-24,2020-06-26,2020-07-08
SH,688377,迪威尔,4866.7,16.42,100,CNY,2020-06-23,2020-06-25,2020-07-08
SZ,300847,中船汉光,4934,6.94,100,CNY,2020-06-23,2020-06-25,2020-07-09
SZ,300845,捷安高科,2309,17.63,100,CNY,2020-06-22,2020-06-24,2020-07-03
SH,688277,天智航,4190,12.04,100,CNY,2020-06-22,2020-06-24,2020-07-07
