市场,股票代码,股票名称,发行总数(万股),上市价格,每手股数,币种,申购起始,申购结束,上市时间
HK,09913,智勤控股,25000.00,0.52~0.64,4000,港元,2020-07-30,2020-08-04,2020-08-14
HK,03347,泰格医药,10706.51,88.00~100.00,100,港元,2020-07-29,2020-07-31,2020-08-07
HK,01449,立德教育,16666.70,2.10~2.60,1000,港元,2020-07-27,2020-07-30,2020-08-06
HK,09668,渤海银行,288000.00,4.80,500,港元,2020-06-30,2020-07-09,2020-07-16
HK,09908,嘉兴燃气,3334.00,10.00,500,港元,2020-06-30,2020-07-08,2020-07-16
HK,01981,华夏视听教育,40000.00,3.10,1000,港元,2020-06-30,2020-07-08,2020-07-15
HK,09990,祖龙娱乐,18740.00,11.60,1000,港元,2020-06-30,2020-07-07,2020-07-15
HK,01156,Chinanewenergy,8260.00,0.98,4000,港元,2020-06-30,2020-07-07,2020-07-15
HK,09977,凤祥股份,35500.00,3.33,1000,港元,2020-06-30,2020-07-07,2020-07-16
HK,00368,德合集团,20000.00,0.63,4000,港元,2020-06-30,2020-07-06,2020-07-17
HK,06933,新娱科控股,10000.00,1.63,2000,港元,2020-06-30,2020-07-06,2020-07-15
HK,09986,大山教育,20000.00,1.25,2000,港元,2020-06-30,2020-07-06,2020-07-15
HK,08659,易和国际控股,15000.00,0.40,5000,港元,2020-06-30,2020-07-06,2020-07-13
HK,06969,思摩尔国际,57435.20,12.40,1000,港元,2020-06-29,2020-07-03,2020-07-10
HK,06958,正荣服务,25000.00,4.55,1000,港元,2020-06-29,2020-07-03,2020-07-10
HK,09979,绿城管理控股,47756.00,2.50,1000,港元,2020-06-29,2020-07-03,2020-07-10
HK,01163,虎视传媒,15000.00,0.86,2500,港元,2020-06-29,2020-07-03,2020-07-10
HK,01477,欧康维视生物-B,10593.00,14.66,500,港元,2020-06-29,2020-07-03,2020-07-10
HK,06978,永泰生物-B,10000.00,11.00,1000,港元,2020-06-29,2020-07-03,2020-07-10
HK,06968,港龙中国地产,40000.00,3.93,1000,港元,2020-06-29,2020-07-03,2020-07-15
HK,08623,中国蜀塔,20000.00,0.30,10000,港元,2020-06-24,2020-07-02,2020-07-10
HK,01971,弘阳服务,10000.00,4.15,1000,港元,2020-06-24,2020-06-30,2020-07-07
HK,09989,海普瑞,22009.45,18.40,500,港元,2020-06-24,2020-06-30,2020-07-08
HK,09906,宏力医疗管理,15000.00,2.10,2000,港元,2020-06-24,2020-06-30,2020-07-13
HK,01957,Mbv Intl,15700.00,0.80,2500,港元,2020-06-18,2020-06-24,2020-07-08
HK,01502,金融街物业,9000.00,7.36,1000,港元,2020-06-19,2020-06-24,2020-07-06
HK,01650,Hygieia Group,50000.00,0.25,8000,港元,2020-06-12,2020-06-19,2020-07-03
HK,09997,康基医疗,22539.75,13.88,500,港元,2020-06-16,2020-06-19,2020-06-29
HK,06078,海吉亚医疗,12000.00,18.50,200,港元,2020-06-16,2020-06-19,2020-06-29
HK,09958,力天影业,7500.00,2.56,1000,港元,2020-06-10,2020-06-15,2020-06-22
HK,09618,京东集团-SW,13300.00,226.00,50,港元,2020-06-08,2020-06-11,2020-06-18
HK,09999,网易-S,17148.00,123.00,100,港元,2020-06-02,2020-06-05,2020-06-11
HK,09923,移卡,9872.40,16.64,400,港元,2020-05-20,2020-05-25,2020-06-01
HK,01645,海纳智能,11600.00,1.38,4000,港元,2020-05-20,2020-05-25,2020-06-03
HK,02381,蚬壳电业,50000.00,0.25,10000,港元,2020-05-19,2020-05-22,2020-06-02
HK,09939,开拓药业-B,9234.75,20.15,500,港元,2020-05-12,2020-05-15,2020-05-22
HK,09983,建业新生活,30000.00,6.85,1000,港元,2020-05-05,2020-05-08,2020-05-15
HK,09996,沛嘉医疗-B,15251.10,15.36,1000,港元,2020-05-05,2020-05-08,2020-05-15
HK,08496,新加坡美食控股,6000.00,0.90,2500,港元,2020-04-29,2020-05-06,2020-05-18
HK,01936,Ritamix,12500.00,1.00,2000,港元,2020-04-24,2020-05-04,2020-05-13
HK,01147,伊登软件,50000.00,0.25,10000,港元,2020-04-23,2020-04-29,2020-05-13
HK,01376,RafflesInterior,25000.00,0.50,8000,港元,2020-04-21,2020-04-24,2020-05-07
HK,01953,Rimbaco,31500.00,0.40,5000,港元,2020-04-14,2020-04-17,2020-04-28
HK,09926,康方生物-B,15949.50,16.18,1000,港元,2020-04-14,2020-04-17,2020-04-24
HK,08620,亚洲速运,12000.00,0.50,5000,港元,2020-03-31,2020-04-09,2020-04-20
HK,08616,新威工程集团,25000.00,0.24,10000,港元,2020-03-31,2020-04-07,2020-04-23
HK,01942,Mog Holdings,12500.00,1.00,2000,港元,2020-03-28,2020-04-06,2020-04-15
HK,03390,满贯集团,19242.00,1.49,2000,港元,2020-03-30,2020-04-03,2020-04-15
HK,06063,智中国际,50000.00,0.25,8000,港元,2020-03-30,2020-04-02,2020-04-15
HK,01463,C-Link Sq,20000.00,0.63,4000,港元,2020-03-17,2020-03-20,2020-03-27
HK,09969,诺诚健华-B,25032.40,8.95,1000,港元,2020-03-11,2020-03-16,2020-03-23
HK,01961,九尊数字互娱,12600.00,1.35,2000,港元,2020-02-27,2020-03-09,2020-03-17
HK,01472,生兴控股,25000.00,0.50,5000,港元,2020-02-28,2020-03-09,2020-03-17
HK,00589,建中建设,15625.00,1.65,2000,港元,2020-02-29,2020-03-09,2020-03-18
HK,01941,烨星集团,10000.00,1.56,2000,港元,2020-02-28,2020-03-06,2020-03-13
HK,02381,蚬壳电业,37500.00,0.335~0.38,6000,港元,2020-02-29,2020-03-06,-
HK,01859,煜盛文化,40000.00,2.26,1000,港元,2020-02-28,2020-03-05,2020-03-13
HK,06918,奇士达,8840.00,1.38,2000,港元,2020-02-28,2020-03-04,2020-03-18
HK,01433,常达控股,50000.00,0.25,10000,港元,2020-02-28,2020-03-04,2020-03-12
HK,01950,深蓝科技控股,25000.00,0.52,4000,港元,2020-02-27,2020-03-03,2020-03-12
HK,09936,稀美资源,7500.00,2.23,2500,港元,2020-02-26,2020-03-02,2020-03-12
HK,01343,伟源控股,26600.00,0.48,5000,港元,2020-02-25,2020-02-28,2020-03-12
HK,09916,兴业物联,10000.00,1.99,2000,港元,2020-02-25,2020-02-28,2020-03-09
HK,02263,富石金融,25000.00,0.50,10000,港元,2020-01-31,2020-02-07,2020-02-19
HK,09929,澳达控股,50000.00,0.25,10000,港元,2020-01-31,2020-02-05,2020-02-14
HK,01601,中关村科技租赁,33333.40,1.52,2000,港元,2019-12-31,2020-01-14,2020-01-21
HK,01745,驴迹科技,35270.00,2.12,2000,港元,2019-12-31,2020-01-10,2020-01-17
HK,09933,GHW Intl,25000.00,0.51,4000,港元,2019-12-31,2020-01-10,2020-01-21
HK,01442,Infinity L&T,50000.00,0.31,10000,港元,2019-12-30,2020-01-09,2020-01-21
HK,01412,隽思集团,13300.00,1.18,2000,港元,2019-12-31,2020-01-09,2020-01-16
HK,01937,佳辰控股,25000.00,0.53,5000,港元,2019-12-31,2020-01-09,2020-01-17
HK,01525,建桥教育,10000.00,6.05,500,港元,2019-12-31,2020-01-09,2020-01-16
HK,09919,艾德韦宣集团,20000.00,2.02,2000,港元,2019-12-31,2020-01-09,2020-01-16
HK,09968,汇景控股,78810.00,1.93,2000,港元,2019-12-31,2020-01-09,2020-01-16
HK,09922,九毛九,33340.00,6.60,1000,港元,2019-12-30,2020-01-08,2020-01-15
HK,03718,北控城市资源,90000.00,0.69,4000,港元,2019-12-30,2020-01-08,2020-01-15
HK,01740,新石文化,25000.00,0.50,5000,港元,2019-12-30,2020-01-08,2020-01-16
HK,00301,三和精化,10000.00,1.30,2000,港元,2019-12-27,2020-01-07,2020-01-16
HK,09938,华和控股,25000.00,0.50,5000,港元,2019-12-31,2020-01-07,2020-01-17
HK,01925,旷世控股,10000.00,1.28,2000,港元,2019-12-30,2020-01-06,2020-01-16
HK,08500,天泓文创,4500.00,1.39,2000,港元,2019-12-30,2020-01-06,2020-01-14
HK,01802,文业集团,14850.00,1.06,2000,港元,2019-12-31,2020-01-06,2020-01-14
HK,08646,中国宏光,7500.00,0.77,3000,港元,2019-12-31,2020-01-06,2020-01-13
HK,02528,尚晋国际控股,10000.00,2.00,2000,港元,2019-12-30,2020-01-03,2020-01-13
HK,01416,CTR Holdings,35000.00,0.36,10000,港元,2019-12-30,2020-01-03,2020-01-15
HK,09918,丽年国际,50000.00,0.25,8000,港元,2019-12-27,2020-01-02,2020-01-10
HK,09998,光荣控股,20000.00,0.65,5000,港元,2019-12-24,2019-12-31,2020-01-08
HK,09911,赤子城科技,13600.00,1.68,2000,港元,2019-12-17,2019-12-20,2019-12-31
HK,01542,台州水务,5000.00,4.22,1000,港元,2019-12-17,2019-12-20,2019-12-31
HK,06199,贵州银行,220000.00,2.48,1000,港元,2019-12-16,2019-12-19,2019-12-30
HK,09909,宝龙商业,15000.00,9.50,500,港元,2019-12-16,2019-12-19,2019-12-30
HK,06049,保利物业,13333.34,35.10,200,港元,2019-12-09,2019-12-12,2019-12-19
HK,01691,JS环球生活,49983.00,5.20,500,港元,2019-12-09,2019-12-12,2019-12-18
HK,09928,时代邻里,16182.00,5.15,1000,港元,2019-12-09,2019-12-12,2019-12-19
HK,06193,泰林科建,7900.00,1.30,2000,港元,2019-12-05,2019-12-11,2019-12-18
HK,01553,迈科管业,9840.00,2.28,2000,港元,2019-11-29,2019-12-09,2019-12-18
HK,06919,人瑞人才,3800.00,26.60,100,港元,2019-12-03,2019-12-06,2019-12-13
HK,02400,心动公司,6360.00,11.10,200,港元,2019-11-29,2019-12-05,2019-12-12
HK,08216,丰城控股,10000.00,0.60,5000,港元,2019-11-30,2019-12-05,2019-12-13
HK,09966,康宁杰瑞制药-B,17940.30,10.20,1000,港元,2019-12-02,2019-12-05,2019-12-12
HK,02500,启明医疗-B,7853.75,33.00,500,港元,2019-11-28,2019-12-03,2019-12-10
HK,03680,索信达控股,10000.00,1.50,2000,港元,2019-11-28,2019-12-03,2019-12-13
HK,01593,辰林教育,25000.00,2.20,2000,港元,2019-11-27,2019-12-02,2019-12-13
HK,02231,景业名邦集团,40000.00,3.16,1000,港元,2019-11-25,2019-11-28,2019-12-05
HK,08645,Nomad Tech,15000.00,0.40,6000,港元,2019-11-25,2019-11-28,2019-12-09
HK,01425,捷隆控股,31250.00,0.40,5000,港元,2019-11-19,2019-11-22,2019-11-28
