股票市场,股票代码,股票名称,停复牌状态,停牌价格,复牌价格,币种,停牌開始,复牌開始,停盘原因
HK,02213,益華控股,停牌,0.1,,HKD,2020-08-18 15:33:59,,停牌重要公告
HK,00678,雲頂香港,停牌,0.48,,HKD,2020-08-18 09:11:33,,停牌重要公告
HK,08510,Top Standard Corp,復牌,,0.096,HKD,,2020-08-18 08:50:58,復牌重要公告
HK,01539,滙能集團,復牌,,0.147,HKD,,2020-08-18 08:50:58,復牌重要公告
HK,01539,滙能集團,停牌,0.147,,HKD,2020-08-17 09:11:51,,停牌重要公告
HK,01894,恒益控股,復牌,,3.1,HKD,,2020-08-17 08:51:22,復牌重要公告
HK,08283,正力控股,停牌,0.227,,HKD,2020-08-17 08:50:55,,停牌重要公告
HK,08510,Top Standard Corp,停牌,0.096,,HKD,2020-08-17 08:50:55,,停牌重要公告
HK,08351,俊文寶石,停牌,0.01,,HKD,2020-08-17 08:50:11,,停牌重要公告
HK,01878,南戈壁－Ｓ,停牌,0.5,,HKD,2020-08-17 08:50:11,,停牌重要公告
HK,08266,卓信國際控股,停牌,0.183,,HKD,2020-08-17 08:50:11,,停牌重要公告
HK,00204,中國投資開發,復牌,,0.118,HKD,,2020-08-14 08:49:40,復牌重要公告
HK,01576,齊魯高速,復牌,,1.71,HKD,,2020-08-13 08:49:28,復牌重要公告
HK,01894,恒益控股,停牌,3.1,,HKD,2020-08-13 08:48:37,,停牌重要公告
HK,01576,齊魯高速,停牌,1.71,,HKD,2020-08-12 08:53:47,,停牌重要公告
HK,08088,滙友生命科學,復牌,,0.039,HKD,,2020-08-07 08:54:32,復牌重要公告
HK,01151,依利安達,停牌,17.7,,HKD,2020-08-07 08:54:03,,停牌重要公告
HK,08088,滙友生命科學,停牌,0.039,,HKD,2020-08-06 08:50:44,,停牌重要公告
HK,08088,滙友生命科學,復牌,,0.044,HKD,,2020-08-05 08:53:07,復牌重要公告
HK,01125,麗豐控股,復牌,,8.93,HKD,,2020-08-05 08:49:20,復牌重要公告
